CUSTOMER,PhoneNumber, REVENUE ,MOU,DIRECTAS,OVERAGE,ROAM,CHANGEM,CHANGER,DROPVCE,BLCKVCE,UNANSVCE,CUSTCARE,THREEWAY,MOUREC,OUTCALLS,INCALLS,PEAKVCE,OPEAKVCE,DROPBLK,CALLFWDV,CALLWAIT,PHONES,MODELS,EQPDAYS,SETPRC,ProfitMargin,MONTHS,customer service calls,TotalNumTexts,DataUsageGB,CompetitivePackage,NumEmails,MinWebSurfing,MinMusicStreamed,NumPhotoUploadSocialMedia,NumMinStreamVideo,NumMinOnlineGames
1057998,408-338-8050, 292.78 ,438.25,0,0,0.26,28.75,-0.26,7.33,3.33,22.67,0.67,0,52.4,14.67,10.67,32.33,60,10.67,0,0.33,2,2,100,149.99, 0.80 ,88,1,0,2846.35,263.498625,237,90,109,21,112,155
1058608,415-388-9568, 356.13 ,48.25,0,0,0,-22.25,-0.27,0.33,0,3.67,0,0,12.21,11,5.33,20.33,8.67,0.33,0,0,1,1,327,0, 1.18 ,65,1,0,2926,334.7622,236,92,79,13,124,151
1059078,415-402-6591, 179.49 ,180,0,0,0,46,0,2.33,0.67,30.67,3.33,0,50.24,12,6.67,70.67,36,3,0,0,1,1,387,0, 1.07 ,123,1,0,858.95,238.7233625,87,112,108,9,17,48
1059219,408-403-6419, 256.75 ,75,0,0,0,225,-0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,15,59.99, 1.24 ,126,3,27,2193.51,243.9155875,79,83,43,22,94,30
1059230,415-386-9790, 387.00 ,463.5,0.25,7.25,0,49.5,7.08,2,1.33,39.33,0.67,0.67,150.35,32.33,1.33,92.33,103.67,3.33,0,2.33,2,2,205,29.99, 0.43 ,104,3,23,3807.59,356.03931,96,86,119,4,164,23
1059390,415-378-5692, 280.97 ,341.25,0.74,37,0.64,165.75,32.73,7.67,0,14.67,0.33,0.67,51.85,13.33,0.67,46,44.67,7.67,0,0,1,1,385,0, 1.03 ,45,1,22,1639.26,328.740165,96,116,62,21,61,159
1059459,408-360-3324, 220.36 ,357,0,26.5,0,-80,-9.64,2,0.67,18.33,0,0,49.57,10.67,2.33,52.67,22,2.67,0,0,1,1,323,0, 1.12 ,93,2,0,2509.85,334.9453,46,67,83,27,100,119
1059823,415-410-3719, 470.96 ,247.25,0,0,0,75.75,-0.09,1.67,3,15,0,0,16.15,11.67,2.67,44.67,27.33,4.67,0,0,1,1,321,0, 0.70 ,63,0,36,4170.13,814.7603675,139,58,112,29,177,73
1059849,415-352-4221, 375.56 ,1296.5,0,1.75,4.6,-129.5,2.36,24.67,0.33,55.67,1.33,4.33,510.22,141.33,59,121.33,254.67,25,0,14.33,4,3,48,199.99, 0.83 ,100,1,0,4029.75,612.1648375,214,97,78,25,177,89
1060183,415-327-6179, 251.78 ,649.25,0,3,0,7.75,-1.39,10,2.67,21.33,3,0,313.44,23.33,24,50,103.67,12.67,0,3.67,1,1,381,0, 0.72 ,53,2,0,1580.85,214.0161875,206,83,73,14,58,139
1060599,415-359-6196, 217.79 ,252.75,0,0,4,29.25,-4,0.33,2,5.67,1,0.33,0,0,0,19,14,2.33,0,0,1,1,426,0, 0.96 ,92,1,0,1984.45,235.21725,134,39,97,27,71,125
1060968,510-374-9107, 243.28 ,493.75,0,4,0,23.25,1,2,0.67,32,0,0,111.73,27,9.67,74,95.33,2.67,0,1,1,1,423,0, 0.67 ,139,2,0,1434.75,304.0953125,153,74,88,14,48,133
1061027,408-357-4078, 305.12 ,1992.5,0.99,172.25,0,-46.5,-46.29,35.67,5,57,5.67,2,518.4,96.33,32.67,167.33,357.67,40.67,0,2.67,1,1,423,0, 0.84 ,110,2,40,1823.75,372.247925,181,82,38,29,73,180
1061108,408-366-5780, 310.59 ,249,0,3.25,0,-52,-1.14,0.67,5.33,11,0,0,30.08,23.33,0.67,50,35.67,6,0,0,1,1,376,0, 0.77 ,110,1,0,3630.95,500.0519125,50,81,66,0,166,121
1061371,510-393-9619, 201.05 ,29.5,0.25,15.25,0.16,-15.5,1.53,1.67,0.33,2.33,0,0,0,0.33,0,4.67,1,2,0,0,1,1,313,0, 0.43 ,215,3,0,994.95,315.6504625,195,44,113,16,21,111
1061662,415-355-9295, 205.40 ,496.25,0.25,0,0.16,-53.25,-1.14,5.33,0,18.33,0,0.33,65.74,15.33,0,124.67,102.67,5.33,0,0,1,1,311,0, 0.46 ,73,2,0,1205.9,310.157775,94,76,58,10,44,101
1061902,510-400-5751, 170.06 ,1201.5,9.41,0,0,-162.5,-0.5,8,9.33,57,0.67,0,198.23,50.33,7.33,271.33,129.33,17.33,0,6,2,2,167,129.99, 0.84 ,138,1,0,1769.6,227.8804,94,42,66,20,68,152
1061965,415-338-1027, 443.33 ,653.75,0,12.25,0.74,-80.75,-3.54,9.33,2,54.67,17.33,0,139.6,13.33,8,52,42.67,11.33,0,0.33,1,1,478,0, 0.98 ,137,1,0,3851.3,731.490375,167,71,54,28,172,146
1062428,415-405-8867, 153.01 ,81.75,0.99,0,0,-46.75,-0.99,0,2.67,6.67,0,0,1.61,0.67,0,42.33,4.67,2.67,0,0,2,2,224,59.99, 0.68 ,36,2,0,751.05,182.0804125,233,88,67,19,17,72
1062472,408-336-5616, 274.49 ,1736.75,0.25,0.25,0.48,102.25,-55.57,23,1.33,182,13.67,0.33,296.34,95.33,34.67,170.33,291.67,24.33,0,0.67,1,1,414,0, 0.89 ,85,3,0,2174.65,477.610425,233,44,79,30,83,130
1062729,408-335-1697, 403.73 ,364.5,0,55.75,0.32,210.5,44.22,1.33,0.67,28,0,0,75.37,38,25.33,82.33,46,2,0,0.33,1,1,413,0, 1.16 ,108,1,0,3507.65,411.808425,217,88,53,17,158,89
1062979,408-331-5138, 413.36 ,845.25,0,81.5,0,57.75,24.03,4.67,2,24.33,0,0,277.01,27.67,4.33,125.33,88,6.67,0,3,1,1,365,0, 0.52 ,22,2,0,3357.8,512.5602,140,60,118,3,142,44
1063147,415-385-8240, 304.06 ,427,0.74,0.5,0,-35,-1.54,1,2.67,35,8,0,33.32,14.33,0,66,60.33,3.67,0,0,1,1,364,0, 1.07 ,107,1,37,2673.26,471.299975,45,58,68,27,111,142
1063865,510-348-1359, 352.02 ,529.75,0,0,0,-123.75,-43.23,6.33,0,19.67,0.67,0,58.57,37.67,11.33,107.33,117.33,6.33,0,1.67,1,1,467,0, 1.22 ,51,0,0,3017.35,334.4201875,49,50,58,9,136,27
1064134,408-354-7339, 186.78 ,504.75,0,22.75,0,-226.75,40.03,4,13,11.33,1,0.33,172.5,8.67,1.33,54,73,17,0,0,2,2,5,149.99, 0.63 ,94,2,0,1082,328.7328,80,76,116,29,21,150
1064310,510-349-1687, 349.90 ,1300.25,0,28.5,0,121.75,-8.76,2.67,17,38,0,0.67,63.67,21.33,0,135.67,69.33,19.67,0,0,1,1,357,0, 0.36 ,119,0,23,2420.59,573.84297,95,71,71,13,102,42
1064623,415-380-2558, 286.46 ,242.5,2.48,7.5,1.57,61.5,1.89,1.33,0.33,17.33,0,0,58.52,19.67,8.33,36.33,46.33,1.67,0,0.33,1,1,356,0, 1.25 ,33,0,29,2496.12,423.95932,96,101,90,24,98,126
1064640,415-365-2153, 118.74 ,206.25,0,0,0,30.75,0,1.67,0,7.33,0,0,0,1.67,0,19.67,12.67,1.67,0,0,1,1,402,0, 1.23 ,106,1,0,1153.5,166.2395,50,56,18,30,45,75
1064835,408-345-6043, 107.01 ,1114.75,0,62.75,1.4,-1.75,-12.35,9,0.33,8.67,0,0,31.73,10.67,3.33,22.67,26,9.33,0,0,2,1,292,79.99, 0.31 ,82,3,0,776.05,175.50255,150,55,47,24,22,34
1064935,510-349-2808, 174.88 ,0,0,0,0,0,-0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,292,0, 0.54 ,86,2,41,1757.93,258.82943,136,34,118,9,60,122
1065042,415-411-1715, 394.77 ,527.25,3.71,69,0,-131.25,-8.59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,400,0, 0.75 ,97,2,0,3726.95,497.411775,121,106,91,8,163,152
1065340,408-385-2488, 338.63 ,1131.5,1.24,0,0.16,-280.5,0.23,24.67,0,4.33,12,0.33,372.91,47.67,22.67,144.67,228,24.67,0,0,3,1,272,199.99, 0.87 ,106,1,32,2256.81,521.491355,70,75,24,30,99,38
1065665,510-377-7177, 307.41 ,551.5,1.49,37.75,0.16,-53.5,-11.93,10.33,0,9.67,0,0,128.6,69.67,9,173.67,97.33,10.33,0,0,2,2,73,149.99, 1.01 ,108,1,0,2078.6,396.55245,52,92,22,10,94,175
1065707,415-342-1099, 323.52 ,411.25,0,79.25,0,-0.25,-5.44,6,5.67,34.67,0,0,126.28,24.67,1.67,86.67,45.33,11.67,0,1.67,2,2,218,199.99, 0.34 ,114,0,0,3342.4,494.9856,84,48,110,17,139,106
1065784,408-386-4170, 181.26 ,290.75,0,0,1.29,22.25,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,288,0, 0.65 ,92,0,0,1441.5,290.02,151,103,107,11,45,126
1066074,510-413-1269, 325.10 ,110.75,1.73,0,0,-38.75,5.77,5,4.67,42.33,1.33,0,13.82,10,0,47,21.67,9.67,0,0.33,1,1,394,0, 0.70 ,59,1,0,2138.6,490.89345,108,48,88,3,86,171
1066088,510-396-4460, 165.79 ,575.5,0.74,198.5,0,616.5,171.34,7.33,0.67,14.33,0.67,0,40.79,26.33,0.33,129.67,30.33,8,0,0.33,1,1,455,0, 0.81 ,24,1,25,1419.7,263.602125,82,41,58,3,57,88
1066243,408-334-2730, 241.18 ,794.5,0,0,0,-48.5,0,5.33,0,7.67,5,0,189.7,15.33,0.33,42.33,52.67,5.33,0,0,3,2,16,149.99, 1.09 ,151,1,0,1347.8,409.9975,93,63,25,27,53,162
1066260,415-340-3182, 289.66 ,31.5,0,0,0.1,0.5,-0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,284,0, 0.45 ,117,1,0,2022.75,263.5871875,103,100,44,25,83,158
1067068,510-377-8608, 299.23 ,467.5,0.74,142.25,0.77,-467.5,-51.3,6,0,0,0,0.67,40.34,35,1.33,66.33,65.33,6,0,0,2,2,142,59.99, 1.10 ,78,2,0,2675.1,230.409025,226,104,116,8,105,169
1067267,408-417-3676, 368.84 ,1178.25,0.5,5.5,0,-310.25,-36.32,15.67,0.67,89,5.67,2,416.44,106.33,41,195,271.33,16.33,0,2.33,2,2,161,149.99, 0.44 ,155,1,0,3912,442.608,91,57,103,28,166,106
1067462,510-417-6774, 137.77 ,46.5,0,0,0,-41.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,440,0, 1.11 ,114,1,30,1115.5,128.128425,141,39,42,19,41,74
1067466,510-411-9554, 241.53 ,995.25,0.25,55,0.16,338.75,-0.48,40.67,2.33,73.67,2.33,0.33,226.95,23,0,238.67,107,43,0,5,1,1,383,0, 0.45 ,114,1,28,2234.34,280.16958,152,62,18,27,100,17
1068093,408-420-3192, 314.38 ,103.5,0,0,0,-43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,440,0, 0.87 ,119,0,0,3326.8,512.4394,189,111,39,22,150,118
1068103,510-389-1475, 222.20 ,77.25,0,50.75,0,-59.25,-19.79,0.33,0.67,10.33,2.67,0,20.85,12,0,32.33,3,1,0,0,1,1,440,0, 0.32 ,64,0,48,1618.34,335.515205,179,87,67,7,63,116
1068147,408-343-7734, 352.21 ,1270,0.74,362.75,0,-188,-16.25,31.67,28,49.33,9,0,393.24,231.33,57.67,228,195,59.67,0,4,2,2,63,149.99, 1.13 ,118,2,0,3501,373.3373,82,94,37,3,165,52
1068654,415-410-3390, 141.74 ,483.75,0.5,14,0,46.25,10.73,3.33,8.33,32.33,0.67,0.33,162.5,31,16.33,98,96.67,11.67,0,3,3,2,44,129.99, 0.48 ,101,1,0,850.1,151.659125,248,38,17,9,34,176
1068848,415-344-6495, 383.55 ,1864.25,0.99,310.25,0,-152.25,3.32,34.67,0,3.33,11,1.33,647.16,118,102.33,432.67,516,34.67,0,2.33,3,2,157,199.99, 1.17 ,117,0,0,3625.1,575.32875,54,56,65,26,160,92
1069049,415-331-6229, 111.12 ,1298.75,0.99,17,0,-248.75,-3.2,20.33,10,63.67,0.33,0,387.9,130,37.67,209.33,335,30.33,0,16.67,2,2,67,29.99, 0.78 ,49,6,28,964.59,96.6780975,76,59,104,4,25,46
1069117,415-337-7501, 291.24 ,1838.5,1.98,0,0.2,14.5,0.12,5.33,1,53.67,11.33,0,169.15,43.67,1,88.67,108,6.33,0,0,2,2,243,9.99, 0.78 ,139,2,0,2092.8,297.0648,93,95,46,5,92,77
1069171,408-339-9631, 166.99 ,153,0.25,0,0.2,13,0.25,1.67,0.33,15,1.33,0,15.04,7.67,3.33,54.67,30,2,0,0.33,1,1,263,0, 0.74 ,92,4,28,1469.99,263.843015,203,112,107,8,48,15
1069313,415-369-4384, 118.64 ,595.75,0.74,40.25,1.39,54.25,-26.99,8.33,0.67,29,1,1.33,134.35,32,15,128.33,118,9.33,0,1.67,5,5,41,129.99, 0.57 ,83,1,0,767.55,212.3588875,128,103,20,16,27,177
1070399,510-416-3915, 242.52 ,630.5,1.98,28.75,0,416.5,24.59,3,12,39.67,0,0,109.92,27.67,2.67,67.67,60.33,15,0,0,1,1,363,0, 0.99 ,148,1,0,1567.1,261.9243,225,85,30,8,68,73
1070635,408-339-3049, 289.64 ,333.75,0,0,0,-0.75,-1.23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,254,0, 0.77 ,144,0,48,2358.29,257.7811575,121,84,94,5,96,44
1070647,415-361-7998, 189.40 ,107.75,0,0.25,0.1,67.25,-0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,316,0, 0.87 ,131,0,25,1227.1,185.61445,214,61,93,23,35,67
1070804,510-355-4842, 143.97 ,306.5,0,0,36.58,-153.5,-30.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,253,0, 0.40 ,146,1,0,1367.65,215.960625,93,40,102,11,44,50
1071219,415-387-6440, 302.32 ,797.75,1.73,124.5,105.23,-316.75,-102.18,13.67,10.67,106.67,6.33,0,139.52,32,4.33,154,32.67,24.33,0,2.67,1,1,358,0, 0.68 ,143,3,0,1861.85,329.5274375,214,63,117,8,65,137
1071623,415-369-2625, 246.29 ,1282,6.44,81.25,25.32,-235,-39.05,20,14,89.33,30.67,0,323.48,100.67,25.67,194.67,197.33,34,0,5.33,2,2,211,129.99, 1.04 ,81,0,0,1476.6,369.4275,172,76,34,30,58,15
1072184,415-389-7073, 393.05 ,659.25,2.97,2.75,0,150.75,-2.14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,244,0, 0.91 ,48,2,37,3021.91,699.634785,180,56,92,13,128,24
1072440,415-370-8463, 198.74 ,488.25,0.25,17.5,0,373.75,22.9,6.33,0,9.67,4.33,0,114.91,14.33,3,45.33,42.67,6.33,0,0.67,1,1,243,0, 0.58 ,86,2,28,1602.14,157.004995,40,62,56,5,65,174
1072671,415-362-7318, 149.83 ,1424,0.25,0,0,552,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,303,0, 0.72 ,71,0,0,1101.4,157.31625,233,99,110,23,25,50
1073041,408-412-1194, 192.91 ,203.75,0.99,0,0,103.25,-0.99,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,301,0, 1.01 ,145,1,24,771.97,314.4396325,207,82,78,18,16,92
1073046,510-355-9508, 345.94 ,306,0,0,0,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,273,0, 1.10 ,137,1,0,2464.5,446.259375,203,111,83,7,102,98
1073100,408-352-8202, 253.54 ,17.5,0,0,0,-15.5,-0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,239,0, 0.49 ,137,2,0,2094,225.6506,73,111,47,5,92,48
1073517,510-335-5882, 173.74 ,184.5,3.71,0,0,0.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,406,0, 0.68 ,167,1,0,1620.8,265.8222,169,79,20,8,73,63
1073699,510-352-6976, 223.59 ,930.25,5.94,207,1.99,-278.25,-67.65,13.67,20,11.33,4.67,0,26.79,24.33,2.67,80.33,33.67,33.67,0,0.33,1,1,236,0, 0.88 ,89,1,0,2449.5,203.469175,169,65,69,6,105,94
1073928,415-393-6733, 338.18 ,217.5,0,0,0,171.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,403,0, 0.96 ,199,3,34,3389.62,287.454275,248,72,57,29,149,26
1074068,510-335-1838, 161.27 ,997,0.99,103.5,0,366,-25.23,6.33,4.33,45,1,0,347.77,40.67,47.33,136.33,134.67,10.67,0,7,3,3,110,59.99, 0.87 ,132,1,0,852.05,120.9553125,144,73,43,2,32,23
1074354,510-355-6930, 240.21 ,44.75,0,0,0,-44.75,-50.91,2,1.33,8.67,1,0,14.27,0,0,24.33,6,3.33,0,0,1,1,402,0, 0.85 ,94,0,0,1671.45,196.971175,168,53,49,14,69,19
1075129,415-387-5860, 374.51 ,36.5,0,0,0,1.5,4.73,2.67,0,2,0,0,0.6,0.33,0,10.67,2.67,2.67,0,0,1,1,229,0, 0.34 ,96,0,37,4068.96,617.9448,93,76,112,5,178,56
1075195,510-343-2605, 172.73 ,1142.5,0,33.25,42.17,1176.5,33.1,10.33,1.67,91.67,9.33,0,291.13,48.67,5.67,146,150.33,12,0,9.33,1,1,229,0, 1.27 ,96,1,18,652.84,143.36839,67,55,27,22,20,86
1075551,510-350-6759, 405.47 ,325,0,0.75,0,-150,-0.29,0,0.67,21.33,0,0,58.41,6,0.33,61,88.33,0.67,0,3.67,1,1,335,0, 0.77 ,166,1,0,3435.95,450.0675375,207,56,88,9,149,173
1075924,415-371-1514, 386.62 ,308.5,0,10.25,0,-20.5,-2.61,6,2.67,19.67,0,0,59,3.33,4,45.33,60.67,8.67,0,0,1,1,288,0, 0.38 ,74,5,0,3563.2,518.0708,79,105,81,24,154,45
1076173,415-346-9317, 342.77 ,694,0.25,23.25,2.4,-18,-9.23,8,1.33,55.33,0,0.33,211.98,86.33,56,276.67,98,9.33,0,3.33,2,2,227,29.99, 1.29 ,36,0,0,3346.45,322.207325,63,86,37,12,154,169
1076411,415-398-4313, 275.16 ,1185.5,0,14.25,0,-144.5,-2.96,5.67,8.33,28.33,7,0.33,151.11,56.67,38.67,174,95.33,14,0,5.33,1,1,393,0, 1.30 ,113,1,0,2664.8,459.5172,119,57,56,24,114,103
1076747,415-412-4399, 275.55 ,168.25,0,0,0,25.75,-2.77,1.67,0.67,7,0,0.33,25.35,8.67,0,34.33,15.67,2.33,0,0,1,1,222,0, 0.42 ,94,6,0,1368.35,366.4765125,138,93,93,2,47,81
1076867,415-330-1835, 221.26 ,888.75,1.98,127.75,1.66,418.25,61.79,6,9.67,42.33,3.67,0,300.52,31.67,14.67,174.33,257,16,0,8.33,2,2,86,29.99, 0.78 ,67,1,0,1646.35,303.1210625,135,108,33,6,72,53
1077464,415-416-1676, 450.12 ,968.5,0,100.75,0,320.5,54.69,6,1,17.67,2.33,0,295.87,22,0.33,54.67,99.33,7,0,0,1,1,388,0, 0.88 ,127,1,0,3669.8,729.1863,60,68,32,2,174,159
1077470,408-329-7347, 318.02 ,633.5,0,12,1.11,150.5,13.25,5.33,1,90.67,0.33,4,155.9,96.67,28.33,183,164.33,6.33,0,3,2,2,82,149.99, 0.56 ,121,1,0,2786.1,267.1347,157,69,24,5,131,100
1077705,415-360-6868, 396.56 ,241.25,0.74,0,0.32,263.75,-0.39,3,0,11,1.33,0,26.47,29.33,4.67,26.33,38.33,3,0,0.33,1,1,218,0, 0.37 ,158,0,0,3975.9,678.121875,242,120,118,22,166,159
1077728,510-405-6641, 225.90 ,694,0.25,24.25,0,362,-9.1,3.33,20.33,32.33,1.67,0,38.97,19.67,6.33,77.67,66.33,23.67,0,0,1,1,218,0, 0.69 ,136,3,0,2569.4,356.9141,223,65,45,5,116,85
1078779,415-393-2373, 192.51 ,38,0.25,0,0,-18,-0.25,0.67,0,2,0.33,0,0.09,0.67,0,14,0.67,0.67,0,0,2,2,186,129.99, 1.29 ,196,3,0,1056.2,294.53265,157,107,76,18,31,38
1079175,415-419-1714, 194.69 ,1069.5,0,256.5,0,153.5,10.39,33.33,2.33,44.67,2,0,212.19,37.67,3,181.67,180.67,35.67,0,1.67,1,1,381,0, 0.40 ,113,0,0,1463.85,173.2729875,187,94,76,0,55,135
1079185,408-336-3819, 167.31 ,3656.25,0.5,1063.25,0.29,1295.75,389.82,130.67,18,814.33,93,5.33,575.07,644.33,131.33,551,710,148.67,0,0.33,2,2,49,149.99, 0.95 ,122,1,0,1271.45,202.4435875,77,56,119,5,36,163
1079470,510-341-3464, 178.86 ,12.75,0,0,0.45,16.25,-8.05,0,3,0,1,0,0,0.67,0,1,1.33,3,0,0,2,2,9,99.99, 0.52 ,112,3,0,1397.85,230.7277875,69,56,84,7,49,147
1079954,415-413-5310, 341.89 ,112,0,0,0,151,0,0,0,10.33,0,0,1.69,4.67,0,14,10,0,0,0,1,1,378,0, 1.02 ,209,2,0,3484.9,454.710375,85,53,111,18,145,167
